Designation,Abstract,Season
Regulatory,"This rulemaking would amend the Animal Welfare Act regulations to add requirements for contingency planning and training of personnel by research facilities and by dealers, exhibitors, intermediate handlers, and carriers. This action would heighten the awareness of licensees and registrants regarding their responsibilities and help ensure a timely and appropriate response should an emergency or disaster occur.",Fall_2020
Regulatory,"APHIS is proposing to revise its national Brucellosis eradication program. Currently, the program assigns statuses to States based on the prevalence of brucellosis within the State. The current statuses in the classification system are, from highest to lowest: Class Free, Class A, and Class B. APHIS is proposing a new classification system in which States would be assigned statuses based on whether a State is consistent or inconsistent with regard to standards contained in a Program Standards document regarding surveillance, epidemiological investigations, and affected herd management. In addition, APHIS proposes to remove the list of brucellosis State classifications for both the cattle and bison and swine programs from the CFR and move the list to the APHIS website, and to revise conditions for interstate movement of cattle, bison, and swine to reflect the new State classification system. Finally, APHIS is proposing to align vaccination and branding requirements in the regulations with current operational practices.",Fall_2020
Regulatory,"We are proposing to amend the regulations regarding the importation of live dogs by requiring all live dogs imported into the United States for resale purposes to be microchipped for permanent identification, and to require importers to procure a microchip reader and make it available to port-of-entry officials as requested. This action would also add microchipping as one of three identification options for dogs and cats used by dealers, exhibitors and research facilities.  In addition, APHIS is proposing to require a verifiable signature on the health certificate and rabies certificate accompanying imported live dogs, an endorsement of the health certificate by a government official in the country of origin, and the mandatory use of forms provided by APHIS.",Fall_2020
Deregulatory,"This action proposes establishing a standardized formula model for U.S. Grain Standards Act supervision fee adjustments. This will not be a new fee but only a revision in the formula. This will allow the fee and or user fee account to be in alignment with other AMS and FGIS user fee accounts, such as providing for an annual review of the operating reserve. AMS would publish in the Federal Register annually to notify the public of the fee adjustments and then post the updated fees on the AMS website.",Fall_2020
Deregulatory,"FSIS is proposing to revise the regulations prescribing the statistical methods to be used in measuring the performance of chemistry laboratories in its voluntary Accredited Laboratory Program (ALP) and to expand the program to include pathogen testing. Additionally, the Agency is proposing to make various minor edits and changes to the regulation for the sake of clarity, to incorporate all sample types under the jurisdiction of FSIS as appropriate for the associated analyses, and to improve program flexibility.",Fall_2020
Deregulatory,"The Food Safety and Inspection Service (FSIS) is proposing to expand the categories of meat and poultry product labels that it will deem generically approved and thus not required to be submitted to FSIS. These reforms will reduce the regulatory burden on producers seeking to bring products to market, as well as the Agency costs expended to evaluate the labels. FSIS is proposing to make these changes by revising its labeling regulations in 9 CFR part 412.",Fall_2020
Deregulatory,The Food Safety and Inspection Service (FSIS) is proposing to amend the poultry products inspection regulations to permit young chicken slaughter establishments operating under the NPIS to operate at line speeds up to 175 bpm if certain criteria are met. Young chicken NPIS establishments approved to operate at a maximum line speed of 175 bpm would need to continue to meet these criteria to continue to operate at line speeds faster than 140 bpm and up to 175 bpm. The proposed amendments would allow certain young chicken establishments to slaughter birds more efficiently while continuing to ensure food safety and effective online carcass inspection.,Fall_2020
Regulatory,"The Food Safety and Inspection Service is proposing to amend the Federal meat inspection, poultry product, and egg regulations to require establishments that have an Internet connection to provide FSIS access to it for the purposes of conducting and recording inspection verification activities.  Internet service is essential to FSIS personnel for the inspection of meat, poultry, and egg products, given the need to fully employ the FSIS Public Health Information System (PHIS). PHIS assigns inspectors tasks to verify the establishment meets regulatory requirements and to respond to public health incidents promptly.  Inspectors also enter their activities in PHIS.  FSIS views Internet service as a necessary utility, like lighting, heating, and laundry services, that should be provided by establishments as a regulatory condition of receiving inspection.  Similar to the provision that small plants requiring less than one full time inspector need not furnish facilities such as office space, lighting, heat, janitor services, and lockers, FSIS will not require establishments without Internet access to purchase the services or to upgrade services that are not sufficient for FSIS use.",Fall_2020
Regulatory,"The Food Safety and Inspection Service (FSIS) intends to propose to amend its regulations to define the conditions under which the labeling of meat product labels can bear voluntary statements indicating that the product is of United States (U.S.) origin, such as Product of USA, or Made in the USA.",Fall_2020
Regulatory,"The proposed action will address section 744 of Division A of the 2017 Consolidated Appropriations Act, which requires the Secretary of Agriculture to prescribe the manner by which households certified to participate in SNAP must report when they move out of the State in which they were certified.",Fall_2020
Regulatory,"This proposed rule would implement statutory provisions of the Food, Conservation, and Energy Act of 2008 (the 2008 Farm Bill), the Agriculture Improvement Act of 2018 (the 2018 Farm Bill), and other language intended to deter retailer fraud, abuse, and non-compliance in the Supplemental Nutrition Assistance Program (SNAP).",Fall_2020
Regulatory,"The Department is proposing changes to promote timely and accurate reporting of changes in household circumstances and income that might affect household benefit amounts. The Departments proposed action would amend Supplemental Nutrition Assistance Program (SNAP) certification procedural requirements for SNAP households that report zero gross household income and which contain an able-bodied, working age adult or work registrant.",Fall_2020
