Agency,Stage_of_Rulemaking,Title,RIN,Link
USDA/OGC,Final Rule Stage,Department of Agriculture Civil Monetary Penalties Adjustment,0510-AA04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0510-AA04
USDA/NIFA,Proposed Rule Stage,Matching Funds Requirement for Capacity Funds for Agricultural Research and Extension Activities at 1890 Land-Grant Institutions and 1862 Land-Grant Institutions in Insular Areas,0524-AA68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0524-AA68
USDA/FSA,Final Rule Stage,"Debt Collection, Debt Settlement, and Assignment of Payments",0560-AH09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0560-AH09
USDA/FSA,Final Rule Stage,Acreage Reporting and Common Provisions,0560-AH69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0560-AH69
USDA/FSA,Final Rule Stage,Direct Farm Ownership Loan (FO) Microloan (ML) Program,0560-AI33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0560-AI33
USDA/FSA,Final Rule Stage,Margin Protection Program for Dairy; 2018 Opt-out,0560-AI37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0560-AI37
USDA/FSA,Final Rule Stage,Farm Programs; Remove Obsolete Regulations,0560-AI38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0560-AI38
USDA/FCIC,Proposed Rule Stage,General Administrative Regulations; Subpart L - Reinsurance Agreement - Standards for Approval; Regulations for the 2018 and Subsequent Reinsurance Years,0563-AC54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC54
USDA/FCIC,Proposed Rule Stage,Common Crop Insurance Regulations; Sugar Beet Crop Insurance Provisions,0563-AC55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC55
USDA/FCIC,Proposed Rule Stage,Common Crop Insurance Regulations; Forage Seeding Crop Provisions,0563-AC57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC57
USDA/FCIC,Final Rule Stage,"General Administrative Regulations; Subpart X: Interpretations of Statutory Provisions, Policy Provisions, and Procedures",0563-AC45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC45
USDA/FCIC,Final Rule Stage,Common Crop Insurance Regulations; California Avocado Crop Provisions,0563-AC58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC58
USDA/FCIC,Final Rule Stage,Common Crop Insurance Regulations; Cultivated Clams Crop Provisions,0563-AC59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0563-AC59
USDA/RUS,Final Rule Stage,Policy on Audits of RUS Borrowers,0572-AC33,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0572-AC33
USDA/RUS,Final Rule Stage,Repeal of the Local Television Guaranteed Loan Program From the Code of Federal Regulations (CFR).,0572-AC38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0572-AC38
USDA/RHS,Proposed Rule Stage,Community Facilities Direct Loans and Grants - Consolidate Three Regulations,0575-AC91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0575-AC91
USDA/RHS,Proposed Rule Stage,Single Family Housing Guaranteed Rural Housing Programs - Delegated Approval Authority and Strengthening Management Oversight,0575-AD08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0575-AD08
USDA/RHS,Proposed Rule Stage,Single-Family Housing Guaranteed Rural Housing Programs - Loss Claim Procedures and Loss Mitigation Updates,0575-AD09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201710&RIN=0575-AD09
